FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,geometry
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d28,Centrale,Blitta,Blitta 1,Blitta,"MULTILINESTRING ((0.966959089208038 8.32238053754849, 0.9657935047705971 8.32211497264484, 0.9661462474292962 8.321090649187054, 0.9672888269107347 8.32140174029819, 0.9669667575267048 8.32240330024614))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d29,Centrale,Sotouboua,Sotouboua 2,Tittigbe,"MULTILINESTRING ((1.1215380269941546 8.61116727006455, 1.1212705515113741 8.610695019252505, 1.1219250031996273 8.609313241576823, 1.1223456545600345 8.609461670968651))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d2a,Centrale,Sotouboua,Sotouboua 2,Adjengré,"MULTILINESTRING ((1.0117704062892134 8.648727003822314, 1.0117904880079887 8.648595475245807, 1.0118105697267636 8.648452365484612, 1.011843202519773 8.648239768802577, 1.0118766720510648 8.64801972697419, 1.0119084681057922 8.64778644940675, 1.01193691720739 8.64758129738409, 1.0119662030472707 8.64736456407751, 1.01199883584028 8.647140385602494, 1.0120331421098543 8.64691620699409, 1.0120967342193088 8.646807012937261, 1.0121653467584573 8.64670360944518, 1.0122699390437444 8.646619232174613, 1.0124564627710213 8.64646851469213, 1.0126303645224461 8.64635265195901, 1.0128256889533944 8.646223084989446, 1.0129945500743434 8.64612964724336))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d2b,Centrale,Sotouboua,Sotouboua 2,Adjengré,"MULTILINESTRING ((1.0134905809495995 8.665913392960375, 1.0133413689441397 8.6659458948443, 1.0131870989045966 8.665985897159127, 1.0129367262174693 8.666028399613964, 1.012807746348343 8.666053401055741, 1.0125607309813962 8.666205721444472, 1.0125171491507483 8.666239829810603, 1.012380955929973 8.666261371934988))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d2c,Centrale,Sotouboua,Sotouboua 1,Sotouboua,"MULTILINESTRING ((0.9628054172260289 8.56461629053704, 0.9630396992507538 8.565276547862577, 0.9633091235791875 8.565514008550352, 0.963947542096563 8.565502425105606))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d2d,Kara,Assoli,Assoli 2,Alédjo,"MULTILINESTRING ((1.2268984371380995 9.28277347573187, 1.2268002020163633 9.28271834805808, 1.2253286013691775 9.283467323298668, 1.225272742182308 9.283518648954534, 1.2252650374668776 9.283607993596817, 1.2253420846211804 9.28373725814534, 1.225767770148704 9.284185881796855, 1.2258101460835704 9.284292334782409, 1.225889119416731 9.284408292462025))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d2e,Kara,Kéran,Kéran 2,Ossacré,"MULTILINESTRING ((0.7172905184895418 10.063804303740403, 0.7174253836720274 10.063703202159294, 0.7175939651501344 10.06368207645178, 0.7177441559215388 10.063719800928515, 0.7178774885451323 10.063805812718984, 0.7179280629885644 10.06393709382868, 0.7179939630209153 10.064130242950487))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d2f,Kara,Kéran,Kéran 2,Ossacré,"MULTILINESTRING ((0.8036476877050619 10.027015726409097, 0.8034790840834524 10.026970578351179, 0.8033178753575274 10.026925430286967, 0.8032986486287473 10.026884651384856))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d30,Kara,Kéran,Kéran 2,Ossacré,"MULTILINESTRING ((0.757330369650227 10.062716297722657, 0.7570842442993231 10.062811392847964, 0.7567602311791455 10.062805257679432, 0.7566698813667884 10.06269175704061, 0.7566574193237046 10.062507701865824))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d31,Maritime,Avé,Avé 1,Kévé,"MULTILINESTRING ((1.0319450000000001 6.463593333333334, 1.0319450000000001 6.463593333333334, 1.0319450000000001 6.463593333333334))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d32,Centrale,Tchamba,Tchamba 1,Affem,"MULTILINESTRING ((1.5329901211158854 9.164879917598336, 1.5329515696949838 9.164916073909236, 1.532849408429595 9.164914170945595))"
